asset,asset_type,target_area,integration
9F-metal-reaction-products-notes-v153.webp,Class-note visual,9F reactivity,"Reactive metal products map: oxygen, water and dilute acid"
9F-metal-reaction-products-question-v153.webp,Question-safe visual,9F reactivity,Blank product labels A-D for reactive metal product questions
9B-plant-transport-overview-notes-v153.webp,Class-note visual,9B plant transport,"Whole-plant transport overview with root, xylem, phloem and stomata"
9B-plant-transport-overview-question-v153.webp,Question-safe visual,9B plant transport,Labelled plant transport diagram for identify/describe questions
9J-current-voltage-graph-comparison-notes-v153.webp,Class-note visual,9J resistance,Current-voltage graph comparison with resistance notes
9J-current-voltage-graph-comparison-question-v153.webp,Question-safe visual,9J resistance,Graph with lines A and B for resistance calculation/comparison
9A-dna-inheritance-hierarchy-notes-v153.webp,Class-note visual,9A inheritance,"DNA, genes, chromosomes and inherited characteristics class notes"
9A-dna-hierarchy-question-v153.webp,Question-safe visual,9A inheritance,Cell/nucleus/chromosome/DNA/gene/characteristic hierarchy with labels A-F
9J-force-field-comparison-notes-v153.webp,Class-note visual,9J fields,"Gravitational, magnetic and electric field comparison"
9J-force-field-comparison-question-v153.webp,Question-safe visual,9J fields,Field comparison panels A-C for identify questions
9F-gas-pressure-particle-collisions-notes-v153.webp,Class-note visual,9F particles/gas pressure,"Gas pressure variables: temperature, volume and particle number"
9F-gas-pressure-particle-collisions-question-v153.webp,Question-safe visual,9F particles/gas pressure,Gas pressure comparison panels for variable questions
