type,id,src,reason
card,y9-037-9b-if-insecticide-is-sprayed-in-a-food-web-with-insects-eaten-by-wrens-wh,assets/diagrams/9B-food-web-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9-044-9e-a-substance-with-a-high-melting-point-but-brittle-structure-is-best-re,assets/diagrams/9E-lattice-options-source-style-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9-092-9i-on-a-distance-time-graph-which-section-shows-where-a-car-has-stopped,assets/diagrams/9I-distance-time-VWXYZ-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,assets/diagrams/9I-lever-XYZ-source-style-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9-094-9i-which-lever-makes-it-easiest-to-move-a-heavy-rock,assets/diagrams/9I-rock-lever-options-source-style-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-071-9f-use-the-displacement-test-which-tube-is-most-likely-to-show-a-reaction,assets/diagrams/9F-displacement-reaction-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-078-9f-use-the-mass-gain-diagram-calculate-the-percentage-mass-gain,assets/diagrams/9F-percentage-mass-gain-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-079-9f-use-the-mass-loss-diagram-calculate-the-percentage-mass-loss,assets/diagrams/9F-percentage-mass-loss-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-080-9f-use-the-rusting-diagram-which-tube-will-rust-fastest,assets/diagrams/9F-rusting-conditions-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-081-9f-use-the-sacrificial-protection-diagram-which-pair-protects-iron-better,assets/diagrams/9F-sacrificial-protection-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph,assets/diagrams/9I-distance-time-graph-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-151-9j-use-the-magnet-diagram-which-arrow-shows-the-field-direction-on-the-top-field-line,assets/diagrams/9J-magnetic-field-direction-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-152-9j-use-the-magnet-diagram-where-is-the-magnetic-field-strongest,assets/diagrams/9J-magnetic-field-strength-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract,assets/diagrams/9J-static-charge-pairs-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,assets/diagrams/9J-charge-transfer-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,assets/diagrams/9J-electromagnet-parts-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-156-9j-which-change-would-make-the-electromagnet-in-the-diagram-stronger,assets/diagrams/9J-electromagnet-parts-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-159-9j-use-the-motor-effect-diagram-which-arrow-shows-the-force-on-the-wire,assets/diagrams/9J-motor-effect-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-160-9j-which-change-would-increase-the-force-in-the-motor-effect-diagram,assets/diagrams/9J-motor-effect-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-161-9j-use-the-static-charge-diagram-which-labelled-pair-shows-two-negative-charges,assets/diagrams/9J-static-charge-pairs-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
card,y9x-162-9j-use-the-electromagnet-diagram-which-labelled-part-is-the-iron-core,assets/diagrams/9J-electromagnet-parts-question.svg,retained because exact label semantics/answer-key compatibility were not safely replaced by the new images
